,Label (Grouping),Unemployed,Government workers,No health insurance coverage,Families w/ income below poverty,Married-couple household with children of the householder under 18 years,Bachelor's degree or higher,Residence 1 year ago in a different state,Residence 1 year ago abroad,Foreign born,Vacant housing units,Built 1939 or earlier,Renteroccupied,Lacking complete plumbing facilities,Housing units with a mortgage,SMOCAPI 35pct. or more for housing units with a mortgage,65 years and over,White non-Hispanics,"$200,000 or more total household income",Mobile home,Homeowner vacancy,SFHA Penetration Rate,Coastal County
0,"Anderson County, Texas",0.017,0.22699999999999998,0.16899999999999998,0.106,0.184,0.12,0.008,0.003,0.06,0.18100000000000002,0.07400000000000001,0.311,0.002,0.43,0.203,0.145,0.573,0.026000000000000002,0.22399999999999998,0.013999999999999999,0.039,0.0
1,"Angelina County, Texas",0.037000000000000005,0.17600000000000002,0.192,0.127,0.182,0.18,0.018000000000000002,0.003,0.083,0.145,0.032,0.337,0.002,0.43799999999999994,0.14,0.162,0.597,0.027999999999999997,0.18899999999999997,0.013000000000000001,0.192,0.0
2,"Aransas County, Texas",0.04,0.18,0.16,0.14800000000000002,0.069,0.248,0.018000000000000002,0.006999999999999999,0.040999999999999995,0.327,0.012,0.209,0.032,0.33399999999999996,0.331,0.273,0.6629999999999999,0.063,0.168,0.046,0.5710000000000001,1.0
3,"Archer County, Texas",0.02,0.155,0.168,0.081,0.19899999999999998,0.225,0.004,0.002,0.037000000000000005,0.136,0.055,0.157,0.012,0.387,0.147,0.20199999999999999,0.877,0.07200000000000001,0.105,0.01,0.413,0.0
4,"Atascosa County, Texas",0.037000000000000005,0.17600000000000002,0.195,0.107,0.223,0.14800000000000002,0.006,0.002,0.068,0.15,0.03,0.222,0.004,0.413,0.172,0.147,0.319,0.057,0.33299999999999996,0.021,0.08199999999999999,0.0
5,"Austin County, Texas",0.035,0.10300000000000001,0.154,0.086,0.226,0.239,0.009000000000000001,0.001,0.1,0.135,0.086,0.20199999999999999,0.005,0.449,0.23399999999999999,0.196,0.607,0.07200000000000001,0.213,0.006,0.478,0.0
6,"Bailey County, Texas",0.013999999999999999,0.038,0.324,0.036000000000000004,0.22699999999999998,0.15,0.024,0.0,0.21899999999999997,0.225,0.015,0.26,0.0,0.423,0.013000000000000001,0.134,0.317,0.024,0.08900000000000001,0.0,0.04,0.0
7,"Bandera County, Texas",0.036000000000000004,0.11900000000000001,0.154,0.092,0.113,0.275,0.004,0.005,0.061,0.267,0.06,0.11699999999999999,0.003,0.444,0.235,0.273,0.752,0.057,0.27699999999999997,0.031,0.10800000000000001,0.0
8,"Bastrop County, Texas",0.025,0.175,0.18600000000000003,0.086,0.23,0.231,0.018000000000000002,0.002,0.11599999999999999,0.122,0.059000000000000004,0.214,0.015,0.57,0.17600000000000002,0.15,0.493,0.073,0.24100000000000002,0.009000000000000001,0.19899999999999998,0.0
9,"Baylor County, Texas",0.018000000000000002,0.10800000000000001,0.179,0.10800000000000001,0.151,0.19699999999999998,0.013000000000000001,0.0,0.027999999999999997,0.322,0.157,0.317,0.013000000000000001,0.172,0.2,0.24,0.752,0.043,0.083,0.0,0.023,0.0
10,"Bee County, Texas",0.031,0.252,0.157,0.157,0.215,0.11900000000000001,0.01,0.001,0.031,0.19699999999999998,0.055,0.327,0.004,0.336,0.235,0.12300000000000001,0.304,0.031,0.136,0.0,0.14300000000000002,0.0
11,"Bell County, Texas",0.045,0.217,0.138,0.111,0.204,0.266,0.053,0.011000000000000001,0.077,0.106,0.022000000000000002,0.45899999999999996,0.003,0.647,0.19399999999999998,0.109,0.44,0.038,0.063,0.024,0.266,0.0
12,"Bexar County, Texas",0.036000000000000004,0.142,0.156,0.11599999999999999,0.19699999999999998,0.3,0.024,0.006,0.131,0.078,0.045,0.413,0.005,0.615,0.21,0.121,0.265,0.064,0.027999999999999997,0.013000000000000001,0.24100000000000002,0.0
13,"Blanco County, Texas",0.025,0.17600000000000002,0.153,0.1,0.15,0.257,0.028999999999999998,0.0,0.067,0.21100000000000002,0.107,0.235,0.002,0.474,0.13699999999999998,0.248,0.747,0.067,0.13699999999999998,0.027999999999999997,0.109,0.0
14,"Bosque County, Texas",0.021,0.184,0.168,0.10400000000000001,0.18100000000000002,0.184,0.027000000000000003,0.001,0.064,0.24600000000000002,0.10400000000000001,0.24,0.002,0.391,0.21600000000000003,0.245,0.76,0.035,0.174,0.033,0.040999999999999995,0.0
15,"Bowie County, Texas",0.023,0.19,0.147,0.126,0.162,0.22899999999999998,0.021,0.002,0.044000000000000004,0.14,0.039,0.369,0.004,0.474,0.161,0.16399999999999998,0.626,0.045,0.136,0.012,0.151,0.0
16,"Brazoria County, Texas",0.032,0.158,0.134,0.057,0.27,0.313,0.013999999999999999,0.002,0.135,0.11,0.01,0.264,0.004,0.618,0.16399999999999998,0.11800000000000001,0.447,0.11699999999999999,0.096,0.01,0.38799999999999996,1.0
17,"Brazos County, Texas",0.027000000000000003,0.245,0.12300000000000001,0.125,0.179,0.42200000000000004,0.026000000000000002,0.009000000000000001,0.124,0.121,0.016,0.516,0.005,0.575,0.23800000000000002,0.094,0.545,0.065,0.065,0.009000000000000001,0.415,0.0
18,"Brewster County, Texas",0.022000000000000002,0.306,0.127,0.09300000000000001,0.172,0.46,0.02,0.0,0.127,0.19899999999999998,0.131,0.401,0.009000000000000001,0.381,0.09,0.231,0.496,0.027000000000000003,0.193,0.027000000000000003,0.16899999999999998,0.0
19,"Brooks County, Texas",0.008,0.244,0.22699999999999998,0.307,0.151,0.18,0.026000000000000002,0.024,0.106,0.297,0.08199999999999999,0.369,0.01,0.175,0.34,0.18899999999999997,0.071,0.0,0.11900000000000001,0.012,0.055,0.0
20,"Brown County, Texas",0.03,0.152,0.16899999999999998,0.10300000000000001,0.17,0.19399999999999998,0.01,0.001,0.040999999999999995,0.22,0.079,0.293,0.005,0.434,0.242,0.198,0.703,0.032,0.153,0.02,0.132,0.0
21,"Burleson County, Texas",0.031,0.205,0.139,0.08900000000000001,0.16899999999999998,0.21100000000000002,0.003,0.003,0.062,0.22699999999999998,0.051,0.22699999999999998,0.01,0.32299999999999995,0.213,0.207,0.637,0.036000000000000004,0.303,0.028999999999999998,0.09,0.0
22,"Burnet County, Texas",0.021,0.121,0.18100000000000002,0.059000000000000004,0.19899999999999998,0.278,0.011000000000000001,0.004,0.08,0.22399999999999998,0.027000000000000003,0.198,0.006,0.466,0.28,0.22699999999999998,0.7240000000000001,0.073,0.17600000000000002,0.006,0.45399999999999996,0.0
23,"Caldwell County, Texas",0.013999999999999999,0.18100000000000002,0.24100000000000002,0.078,0.207,0.16,0.01,0.001,0.11699999999999999,0.106,0.066,0.292,0.004,0.523,0.184,0.145,0.379,0.046,0.276,0.015,0.337,0.0
24,"Calhoun County, Texas",0.026000000000000002,0.177,0.136,0.063,0.207,0.174,0.008,0.01,0.126,0.276,0.013999999999999999,0.25,0.013000000000000001,0.379,0.1,0.177,0.408,0.047,0.146,0.013000000000000001,0.392,1.0
25,"Cameron County, Texas",0.034,0.183,0.285,0.231,0.231,0.19,0.005,0.006,0.228,0.155,0.021,0.348,0.006,0.401,0.22399999999999998,0.135,0.085,0.024,0.11,0.013000000000000001,0.23199999999999998,1.0
26,"Carson County, Texas",0.013999999999999999,0.237,0.102,0.033,0.192,0.261,0.012,0.0,0.02,0.179,0.24100000000000002,0.16,0.006,0.426,0.094,0.20800000000000002,0.848,0.06,0.07,0.008,0.08800000000000001,0.0
27,"Cass County, Texas",0.045,0.154,0.147,0.131,0.156,0.17300000000000001,0.006999999999999999,0.0,0.026000000000000002,0.185,0.047,0.228,0.009000000000000001,0.344,0.204,0.21899999999999997,0.757,0.025,0.20199999999999999,0.015,0.049,0.0
28,"Chambers County, Texas",0.055999999999999994,0.14800000000000002,0.142,0.125,0.305,0.239,0.023,0.0,0.08199999999999999,0.099,0.035,0.154,0.009000000000000001,0.612,0.162,0.11599999999999999,0.649,0.135,0.162,0.006,0.34700000000000003,1.0
29,"Cherokee County, Texas",0.037000000000000005,0.20199999999999999,0.207,0.124,0.20600000000000002,0.174,0.006999999999999999,0.008,0.10099999999999999,0.129,0.068,0.272,0.005,0.414,0.19,0.17300000000000001,0.591,0.03,0.201,0.012,0.124,0.0
30,"Clay County, Texas",0.01,0.209,0.14400000000000002,0.062,0.19699999999999998,0.231,0.019,0.003,0.027999999999999997,0.19899999999999998,0.08,0.192,0.017,0.42200000000000004,0.134,0.222,0.883,0.051,0.153,0.028999999999999998,0.08800000000000001,0.0
31,"Coke County, Texas",0.015,0.228,0.133,0.047,0.10400000000000001,0.204,0.009000000000000001,0.0,0.048,0.37,0.047,0.28800000000000003,0.0,0.301,0.23600000000000002,0.266,0.738,0.048,0.21899999999999997,0.057,0.018000000000000002,0.0
32,"Coleman County, Texas",0.036000000000000004,0.16399999999999998,0.242,0.142,0.14400000000000002,0.19,0.006,0.0,0.065,0.35100000000000003,0.16699999999999998,0.265,0.008,0.342,0.204,0.264,0.758,0.034,0.147,0.02,0.035,0.0
33,"Collin County, Texas",0.03,0.098,0.106,0.047,0.318,0.534,0.031,0.01,0.218,0.06,0.006,0.354,0.002,0.706,0.17800000000000002,0.109,0.541,0.182,0.017,0.01,0.29,0.0
34,"Collingsworth County, Texas",0.031,0.17300000000000001,0.253,0.22899999999999998,0.21600000000000003,0.23600000000000002,0.027000000000000003,0.0,0.09300000000000001,0.318,0.28,0.22899999999999998,0.003,0.275,0.184,0.18899999999999997,0.575,0.025,0.067,0.006999999999999999,0.08900000000000001,0.0
35,"Colorado County, Texas",0.025,0.125,0.162,0.043,0.149,0.207,0.013000000000000001,0.004,0.098,0.303,0.1,0.168,0.011000000000000001,0.306,0.275,0.218,0.547,0.059000000000000004,0.184,0.025,0.17,0.0
36,"Comal County, Texas",0.022000000000000002,0.135,0.111,0.043,0.221,0.396,0.027000000000000003,0.005,0.06,0.099,0.031,0.24100000000000002,0.003,0.608,0.19399999999999998,0.18100000000000002,0.6559999999999999,0.135,0.09,0.012,0.515,0.0
37,"Comanche County, Texas",0.045,0.192,0.157,0.08900000000000001,0.171,0.193,0.003,0.0,0.085,0.261,0.114,0.166,0.013999999999999999,0.322,0.193,0.235,0.68,0.031,0.16699999999999998,0.008,0.098,0.0
38,"Cooke County, Texas",0.024,0.127,0.16399999999999998,0.10800000000000001,0.204,0.22,0.011000000000000001,0.003,0.076,0.083,0.06,0.307,0.005,0.499,0.16399999999999998,0.183,0.737,0.075,0.11900000000000001,0.012,0.152,0.0
39,"Coryell County, Texas",0.026000000000000002,0.292,0.126,0.079,0.249,0.17300000000000001,0.07400000000000001,0.021,0.057999999999999996,0.157,0.033,0.395,0.002,0.578,0.17800000000000002,0.10300000000000001,0.5670000000000001,0.025,0.059000000000000004,0.02,0.188,0.0
40,"Crockett County, Texas",0.01,0.311,0.204,0.08,0.126,0.162,0.008,0.0,0.10800000000000001,0.27399999999999997,0.139,0.413,0.0,0.244,0.376,0.215,0.379,0.0,0.132,0.042,0.055999999999999994,0.0
41,"Crosby County, Texas",0.028999999999999998,0.21600000000000003,0.21,0.18,0.168,0.145,0.003,0.005,0.059000000000000004,0.278,0.05,0.258,0.006,0.272,0.163,0.183,0.381,0.035,0.126,0.045,0.14300000000000002,0.0
42,"Culberson County, Texas",0.064,0.209,0.28,0.262,0.065,0.172,0.003,0.0,0.142,0.359,0.094,0.256,0.0,0.19699999999999998,0.29600000000000004,0.217,0.12,0.0,0.204,0.013999999999999999,0.063,0.0
43,"Dallam County, Texas",0.019,0.113,0.295,0.064,0.20800000000000002,0.157,0.026000000000000002,0.049,0.282,0.215,0.124,0.271,0.0,0.419,0.07200000000000001,0.105,0.519,0.043,0.151,0.009000000000000001,0.077,0.0
44,"Dallas County, Texas",0.035,0.09300000000000001,0.214,0.111,0.192,0.33,0.018000000000000002,0.009000000000000001,0.245,0.079,0.035,0.495,0.003,0.595,0.243,0.10800000000000001,0.27899999999999997,0.087,0.015,0.011000000000000001,0.348,0.0
45,"Dawson County, Texas",0.04,0.24,0.168,0.193,0.179,0.13699999999999998,0.006999999999999999,0.006999999999999999,0.046,0.14300000000000002,0.083,0.303,0.0,0.32899999999999996,0.268,0.14300000000000002,0.311,0.037000000000000005,0.064,0.008,0.09,0.0
46,"Denton County, Texas",0.03,0.114,0.109,0.045,0.281,0.473,0.027999999999999997,0.006999999999999999,0.159,0.052000000000000005,0.009000000000000001,0.349,0.002,0.731,0.17,0.10400000000000001,0.569,0.154,0.028999999999999998,0.008,0.27,0.0
47,"DeWitt County, Texas",0.031,0.161,0.165,0.133,0.205,0.126,0.005,0.0,0.03,0.281,0.165,0.292,0.005,0.289,0.138,0.19399999999999998,0.535,0.045,0.149,0.025,0.191,0.0
48,"Dimmit County, Texas",0.025,0.231,0.141,0.368,0.10800000000000001,0.13,0.001,0.0,0.102,0.28,0.028999999999999998,0.368,0.005,0.273,0.579,0.17,0.098,0.006,0.251,0.003,0.059000000000000004,0.0
49,"Donley County, Texas",0.0,0.161,0.163,0.078,0.114,0.157,0.047,0.0,0.025,0.392,0.217,0.273,0.012,0.27,0.188,0.22699999999999998,0.79,0.018000000000000002,0.16899999999999998,0.043,0.022000000000000002,0.0
50,"Duval County, Texas",0.055,0.133,0.22,0.18600000000000003,0.142,0.08800000000000001,0.0,0.002,0.028999999999999998,0.37200000000000005,0.062,0.278,0.008,0.237,0.265,0.168,0.096,0.021,0.114,0.01,0.026000000000000002,0.0
51,"Eastland County, Texas",0.028999999999999998,0.19,0.171,0.132,0.162,0.214,0.006999999999999999,0.005,0.047,0.29100000000000004,0.17600000000000002,0.26899999999999996,0.009000000000000001,0.297,0.18100000000000002,0.217,0.7809999999999999,0.055999999999999994,0.153,0.059000000000000004,0.079,0.0
52,"Ector County, Texas",0.042,0.121,0.21600000000000003,0.114,0.242,0.163,0.024,0.004,0.156,0.086,0.011000000000000001,0.345,0.006,0.457,0.185,0.094,0.3,0.066,0.16699999999999998,0.013000000000000001,0.125,0.0
53,"Ellis County, Texas",0.027000000000000003,0.138,0.161,0.063,0.268,0.263,0.013000000000000001,0.002,0.078,0.061,0.042,0.249,0.004,0.636,0.165,0.127,0.579,0.09,0.086,0.008,0.322,0.0
54,"El Paso County, Texas",0.040999999999999995,0.204,0.213,0.166,0.21600000000000003,0.247,0.027000000000000003,0.009000000000000001,0.23600000000000002,0.083,0.043,0.369,0.005,0.552,0.256,0.122,0.115,0.037000000000000005,0.057,0.017,0.166,0.0
55,"Erath County, Texas",0.034,0.145,0.149,0.079,0.196,0.309,0.024,0.004,0.079,0.177,0.071,0.37,0.001,0.501,0.235,0.139,0.735,0.043,0.157,0.009000000000000001,0.12,0.0
56,"Fannin County, Texas",0.026000000000000002,0.17300000000000001,0.168,0.084,0.19699999999999998,0.18600000000000003,0.015,0.002,0.047,0.146,0.10099999999999999,0.262,0.002,0.446,0.203,0.184,0.7759999999999999,0.065,0.141,0.006,0.215,0.0
57,"Fayette County, Texas",0.019,0.128,0.11699999999999999,0.069,0.17300000000000001,0.23,0.003,0.0,0.083,0.341,0.122,0.171,0.005,0.35200000000000004,0.19899999999999998,0.253,0.7020000000000001,0.063,0.147,0.013000000000000001,0.114,0.0
58,"Floyd County, Texas",0.026000000000000002,0.183,0.23800000000000002,0.127,0.19399999999999998,0.149,0.0,0.0,0.081,0.284,0.156,0.257,0.0,0.32299999999999995,0.068,0.185,0.359,0.019,0.028999999999999998,0.024,0.021,0.0
59,"Foard County, Texas",0.055999999999999994,0.348,0.16899999999999998,0.10400000000000001,0.068,0.17,0.013999999999999999,0.0,0.036000000000000004,0.345,0.33399999999999996,0.242,0.034,0.21600000000000003,0.442,0.349,0.6779999999999999,0.032,0.09,0.10099999999999999,0.2,0.0
60,"Fort Bend County, Texas",0.037000000000000005,0.125,0.122,0.057,0.35,0.48100000000000004,0.016,0.011000000000000001,0.293,0.047,0.008,0.22399999999999998,0.003,0.669,0.20800000000000002,0.113,0.311,0.171,0.027999999999999997,0.01,0.48100000000000004,0.0
61,"Franklin County, Texas",0.04,0.156,0.151,0.046,0.205,0.292,0.01,0.008,0.068,0.315,0.059000000000000004,0.18600000000000003,0.002,0.445,0.10300000000000001,0.217,0.772,0.11199999999999999,0.095,0.009000000000000001,0.188,0.0
62,"Freestone County, Texas",0.013000000000000001,0.196,0.11599999999999999,0.098,0.21100000000000002,0.16,0.001,0.002,0.068,0.276,0.075,0.22699999999999998,0.002,0.365,0.205,0.195,0.647,0.062,0.245,0.024,0.051,0.0
63,"Frio County, Texas",0.024,0.145,0.166,0.2,0.14300000000000002,0.08900000000000001,0.005,0.086,0.183,0.242,0.037000000000000005,0.341,0.01,0.365,0.342,0.122,0.152,0.027000000000000003,0.261,0.013999999999999999,0.023,0.0
64,"Gaines County, Texas",0.02,0.163,0.305,0.122,0.314,0.107,0.021,0.003,0.27,0.094,0.013999999999999999,0.25,0.009000000000000001,0.41600000000000004,0.142,0.086,0.544,0.053,0.226,0.008,0.052000000000000005,0.0
65,"Galveston County, Texas",0.036000000000000004,0.177,0.132,0.079,0.214,0.332,0.018000000000000002,0.004,0.099,0.145,0.052000000000000005,0.321,0.005,0.58,0.17800000000000002,0.14400000000000002,0.56,0.114,0.037000000000000005,0.016,0.7909999999999999,1.0
66,"Gillespie County, Texas",0.027000000000000003,0.115,0.184,0.086,0.149,0.35200000000000004,0.01,0.006999999999999999,0.091,0.198,0.11699999999999999,0.294,0.004,0.41700000000000004,0.265,0.28800000000000003,0.7340000000000001,0.077,0.127,0.021,0.14400000000000002,0.0
